epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
44,122503,0.87706,0.42916,0.07716,0.69231,0.39753,0.40278,0.21973,1.13597,0.45057,0.19336,0.005743,0.005743,0.005743
45,125282,0.85793,0.42939,0.07362,0.68981,0.39764,0.40247,0.21957,1.14182,0.44979,0.19518,0.005644,0.005644,0.005644
46,128066,0.90534,0.42295,0.08288,0.6914,0.39545,0.40174,0.21902,1.14367,0.45141,0.19506,0.005545,0.005545,0.005545
47,130852,0.83799,0.43182,0.0711,0.6932,0.39465,0.40182,0.21938,1.14703,0.45267,0.1943,0.005446,0.005446,0.005446
48,133634,0.82936,0.4313,0.06979,0.69309,0.39494,0.4015,0.21901,1.14845,0.45402,0.19423,0.005347,0.005347,0.005347
49,136416,0.85066,0.42935,0.07408,0.69088,0.39477,0.40135,0.21916,1.15122,0.45429,0.19379,0.005248,0.005248,0.005248
50,139197,0.83969,0.43138,0.07137,0.69086,0.39438,0.40217,0.21988,1.15304,0.45475,0.19432,0.005149,0.005149,0.005149
51,141983,0.82801,0.42833,0.07055,0.69647,0.39434,0.40291,0.2202,1.15728,0.45502,0.19484,0.00505,0.00505,0.00505
52,144760,0.84463,0.42909,0.07441,0.69449,0.39407,0.40328,0.22036,1.16182,0.45524,0.19424,0.004951,0.004951,0.004951
53,147536,0.8459,0.42673,0.07375,0.69874,0.39256,0.40334,0.22033,1.1661,0.45537,0.19452,0.004852,0.004852,0.004852
54,150322,0.90624,0.41229,0.08793,0.69913,0.39288,0.40331,0.22071,1.16783,0.4545,0.19373,0.004753,0.004753,0.004753
55,153106,0.94132,0.40874,0.09507,0.69865,0.39453,0.40446,0.22117,1.16914,0.45424,0.19246,0.004654,0.004654,0.004654
56,155888,0.95424,0.40962,0.09675,0.69946,0.39551,0.40594,0.22268,1.16795,0.45496,0.19031,0.004555,0.004555,0.004555
57,158667,0.93035,0.42007,0.09339,0.69752,0.395,0.40666,0.22337,1.16707,0.45508,0.18864,0.004456,0.004456,0.004456
58,161447,0.91057,0.42628,0.09019,0.69781,0.39484,0.40593,0.2229,1.16729,0.45582,0.18772,0.004357,0.004357,0.004357
59,164222,0.93285,0.41642,0.094,0.69846,0.3937,0.40502,0.22194,1.16603,0.45665,0.18643,0.004258,0.004258,0.004258
60,167000,0.89779,0.42029,0.08801,0.69883,0.39303,0.40462,0.22182,1.16324,0.45841,0.18506,0.004159,0.004159,0.004159
61,169785,0.92805,0.41753,0.09591,0.69772,0.39094,0.40376,0.22144,1.1611,0.45948,0.18347,0.00406,0.00406,0.00406
62,172560,0.85859,0.43245,0.08149,0.69654,0.39163,0.40322,0.22156,1.16006,0.46072,0.18265,0.003961,0.003961,0.003961
63,175337,0.86344,0.42716,0.08232,0.69733,0.39006,0.40224,0.221,1.16111,0.46218,0.18264,0.003862,0.003862,0.003862
64,178114,0.87094,0.42555,0.08594,0.69509,0.3902,0.40061,0.22001,1.16113,0.46386,0.18238,0.003763,0.003763,0.003763
65,180895,0.86168,0.4295,0.08392,0.69081,0.38965,0.39944,0.21917,1.16282,0.46526,0.1822,0.003664,0.003664,0.003664
66,183674,0.88452,0.42451,0.08883,0.69471,0.38856,0.39804,0.21815,1.16667,0.46524,0.18227,0.003565,0.003565,0.003565
67,186456,1.00121,0.41846,0.10157,0.69553,0.38801,0.3977,0.21776,1.16605,0.46717,0.1821,0.003466,0.003466,0.003466
68,189238,0.79228,0.44147,0.06473,0.69725,0.38757,0.39789,0.21713,1.16606,0.46675,0.18129,0.003367,0.003367,0.003367
69,192018,1.08414,0.40711,0.09743,0.69321,0.38678,0.39645,0.21668,1.16893,0.46667,0.18152,0.003268,0.003268,0.003268
70,194801,0.78753,0.4497,0.06329,0.69414,0.38483,0.39525,0.21557,1.17248,0.46647,0.18196,0.003169,0.003169,0.003169
71,197580,1.15121,0.39,0.1095,0.69619,0.38084,0.39354,0.21382,1.17581,0.4663,0.18189,0.00307,0.00307,0.00307
72,200365,0.86424,0.43742,0.07181,0.69926,0.37865,0.39129,0.21274,1.18099,0.46552,0.18198,0.002971,0.002971,0.002971
73,203147,0.98331,0.41686,0.10274,0.69576,0.37795,0.38864,0.21077,1.18463,0.46586,0.18288,0.002872,0.002872,0.002872
74,205925,1.0428,0.39249,0.10161,0.69465,0.37668,0.38609,0.20922,1.18705,0.46607,0.18366,0.002773,0.002773,0.002773
75,208707,0.76577,0.43827,0.06465,0.69379,0.37681,0.38466,0.20809,1.19089,0.46662,0.18405,0.002674,0.002674,0.002674
76,211491,0.89044,0.4217,0.07998,0.6851,0.37742,0.38181,0.2052,1.20112,0.46569,0.1858,0.002575,0.002575,0.002575
77,214268,0.66214,0.44205,0.05179,0.6825,0.37635,0.37947,0.20342,1.20491,0.4677,0.18564,0.002476,0.002476,0.002476
78,217041,0.82912,0.41786,0.07036,0.6828,0.37376,0.37724,0.20101,1.20888,0.4688,0.18638,0.002377,0.002377,0.002377
79,219826,1.33771,0.34851,0.14142,0.67674,0.37045,0.37439,0.20041,1.20497,0.4713,0.18556,0.002278,0.002278,0.002278
80,222608,0.90552,0.42333,0.07604,0.67386,0.36764,0.37256,0.20116,1.19696,0.47703,0.18481,0.002179,0.002179,0.002179
81,225382,0.88484,0.42855,0.07356,0.67323,0.36342,0.37064,0.1998,1.19535,0.47978,0.1852,0.00208,0.00208,0.00208
82,228167,0.94732,0.41169,0.0835,0.67197,0.36158,0.36896,0.1979,1.19512,0.4822,0.18453,0.001981,0.001981,0.001981
83,230917,0.75022,0.43539,0.06069,0.67001,0.36237,0.36714,0.19616,1.2,0.48375,0.18563,0.001882,0.001882,0.001882
84,233662,0.69958,0.43275,0.0548,0.67365,0.36321,0.36653,0.19543,1.20119,0.4863,0.18575,0.001783,0.001783,0.001783
85,236412,0.81421,0.41401,0.06642,0.67658,0.36194,0.36567,0.19504,1.20137,0.48907,0.18628,0.001684,0.001684,0.001684
86,239161,0.67261,0.43276,0.05433,0.67565,0.36194,0.36566,0.19379,1.20525,0.48934,0.1878,0.001585,0.001585,0.001585
87,241913,0.61625,0.43649,0.05187,0.677,0.35989,0.36393,0.19235,1.20841,0.49048,0.18832,0.001486,0.001486,0.001486
88,244660,0.60147,0.44498,0.05098,0.67493,0.36004,0.36273,0.18898,1.21732,0.4896,0.18997,0.001387,0.001387,0.001387
89,247403,0.61867,0.43469,0.05233,0.67432,0.35801,0.36123,0.18548,1.2245,0.4892,0.1904,0.001288,0.001288,0.001288
90,250148,0.60283,0.43605,0.05031,0.67529,0.35566,0.35934,0.18179,1.23159,0.48914,0.19104,0.001189,0.001189,0.001189
91,252905,0.57112,0.45206,0.04827,0.67459,0.35478,0.35728,0.17819,1.23661,0.48893,0.19138,0.00109,0.00109,0.00109
92,255643,0.5655,0.44685,0.04718,0.67473,0.35343,0.3548,0.1739,1.24588,0.48887,0.19282,0.000991,0.000991,0.000991
93,258383,0.56086,0.4416,0.04751,0.68142,0.35108,0.35325,0.1721,1.25053,0.49089,0.19394,0.000892,0.000892,0.000892
94,261130,0.5233,0.44481,0.0434,0.68101,0.35135,0.35218,0.1702,1.25228,0.49331,0.19466,0.000793,0.000793,0.000793
95,263870,0.50529,0.44105,0.04238,0.68145,0.34864,0.35108,0.16932,1.25205,0.49647,0.19574,0.000694,0.000694,0.000694
96,266616,0.48955,0.43893,0.04073,0.6826,0.34701,0.35033,0.16824,1.25182,0.50018,0.19735,0.000595,0.000595,0.000595
97,269349,0.47232,0.4315,0.03937,0.67994,0.34608,0.34914,0.16788,1.252,0.5037,0.1987,0.000496,0.000496,0.000496
98,272087,0.4568,0.42783,0.03849,0.67704,0.34684,0.34799,0.16734,1.25164,0.50715,0.19952,0.000397,0.000397,0.000397
99,274831,0.44897,0.42179,0.0374,0.6741,0.34935,0.34689,0.16725,1.25139,0.51017,0.20136,0.000298,0.000298,0.000298
100,277564,0.42479,0.41573,0.0359,0.67306,0.34833,0.34589,0.16714,1.2522,0.51263,0.20268,0.000199,0.000199,0.000199
