epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
43,34694.3,1.1908,0.38795,0.13126,0.61596,0.44705,0.4558,0.26905,0.78753,0.46598,0.07366,0.005842,0.005842,0.005842
44,35402.6,1.17938,0.38951,0.12878,0.63452,0.44575,0.46449,0.26078,0.80614,0.47159,0.07552,0.005743,0.005743,0.005743
45,36111,1.18635,0.38852,0.12893,0.62406,0.45651,0.46931,0.25503,0.83342,0.4643,0.07926,0.005644,0.005644,0.005644
46,38273.9,1.17022,0.39272,0.12906,0.62194,0.46636,0.47482,0.27306,0.78272,0.46906,0.0768,0.005545,0.005545,0.005545
47,38979.7,1.15601,0.39498,0.12521,0.62776,0.47211,0.4882,0.29726,0.72475,0.48689,0.07165,0.005446,0.005446,0.005446
48,39685.2,1.15688,0.3962,0.12653,0.59606,0.41799,0.43359,0.22388,0.83249,0.46412,0.07702,0.005347,0.005347,0.005347
49,40396.5,1.15031,0.39739,0.12581,0.63117,0.47255,0.48585,0.29557,0.70357,0.49375,0.0706,0.005248,0.005248,0.005248
50,41132.8,1.13827,0.39944,0.12169,0.64426,0.47227,0.48658,0.28849,0.74361,0.47783,0.07438,0.005149,0.005149,0.005149
51,41873.1,1.14493,0.39901,0.12421,0.62673,0.46397,0.47475,0.25741,0.78971,0.47873,0.07539,0.00505,0.00505,0.00505
52,42579.2,1.16699,0.39518,0.12999,0.55909,0.37457,0.38477,0.16959,0.9944,0.43036,0.08873,0.004951,0.004951,0.004951
53,43292.2,1.17107,0.39192,0.12446,0.61755,0.45674,0.46433,0.2361,0.83595,0.46521,0.07852,0.004852,0.004852,0.004852
54,43998.9,1.20067,0.38208,0.13343,0.63622,0.45994,0.46418,0.2729,0.80582,0.44865,0.07977,0.004753,0.004753,0.004753
55,44705.8,1.16385,0.39888,0.12925,0.62873,0.47617,0.49048,0.29825,0.71237,0.49486,0.07217,0.004654,0.004654,0.004654
56,45411.1,1.14876,0.39829,0.12233,0.64733,0.47545,0.49038,0.29126,0.73452,0.47658,0.07297,0.004555,0.004555,0.004555
57,46140.8,1.18799,0.39025,0.13644,0.64279,0.47501,0.48504,0.28411,0.76057,0.47374,0.07808,0.004456,0.004456,0.004456
58,46845.7,1.20338,0.38619,0.13615,0.63674,0.47898,0.48411,0.2867,0.77156,0.46611,0.07677,0.004357,0.004357,0.004357
59,47553.4,1.14062,0.40308,0.1265,0.63976,0.48301,0.49277,0.29105,0.73389,0.49182,0.07304,0.004258,0.004258,0.004258
60,48260.1,1.11809,0.40779,0.11876,0.62098,0.49506,0.50097,0.29682,0.70755,0.49866,0.06952,0.004159,0.004159,0.004159
61,48967.4,1.10185,0.41304,0.11635,0.647,0.50112,0.51163,0.31173,0.68614,0.49823,0.06846,0.00406,0.00406,0.00406
62,49680.9,1.0227,0.42694,0.10585,0.65733,0.50564,0.51848,0.32151,0.67439,0.49002,0.06579,0.003961,0.003961,0.003961
