epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,19542.5,1.14067,0.71729,0.93434,0.72393,0.59628,0.64798,0.4306,1.08863,0.70062,0.9285,0.005842,0.005842,0.005842
44,19837.4,1.1442,0.71924,0.93823,0.71767,0.59893,0.65486,0.43436,1.08688,0.70119,0.93008,0.005743,0.005743,0.005743
45,20132.6,1.13258,0.7101,0.93548,0.72561,0.596,0.65453,0.43538,1.08894,0.69694,0.92839,0.005644,0.005644,0.005644
46,20443.1,1.13514,0.71078,0.93428,0.72625,0.59135,0.65397,0.43521,1.08522,0.69751,0.92862,0.005545,0.005545,0.005545
47,21109.7,1.12927,0.70247,0.92963,0.73119,0.59138,0.65549,0.43581,1.09009,0.69768,0.93035,0.005446,0.005446,0.005446
48,21634,1.12653,0.69908,0.93118,0.73703,0.5973,0.65268,0.43469,1.08899,0.69877,0.92913,0.005347,0.005347,0.005347
49,21929.2,1.12098,0.69514,0.93277,0.73557,0.58645,0.64913,0.43264,1.08936,0.6965,0.93102,0.005248,0.005248,0.005248
50,22578.7,1.12459,0.69531,0.93139,0.73668,0.58736,0.6551,0.43651,1.08799,0.69434,0.93029,0.005149,0.005149,0.005149
51,22936.3,1.11949,0.68819,0.92896,0.73026,0.59309,0.65504,0.43519,1.08893,0.69472,0.93078,0.00505,0.00505,0.00505
52,23350.2,1.11967,0.6847,0.92926,0.73547,0.59013,0.65389,0.43356,1.0904,0.6966,0.93,0.004951,0.004951,0.004951
53,24517,1.11844,0.68237,0.92695,0.73204,0.59087,0.65835,0.43909,1.08952,0.69119,0.92974,0.004852,0.004852,0.004852
54,25026,1.10955,0.6761,0.92539,0.73012,0.59983,0.66067,0.43973,1.08931,0.68983,0.92981,0.004753,0.004753,0.004753
55,26104.3,1.10756,0.677,0.9259,0.72048,0.6059,0.65793,0.4386,1.09037,0.69161,0.92929,0.004654,0.004654,0.004654
56,26399.5,1.10407,0.66972,0.92358,0.72788,0.60382,0.65642,0.43687,1.09133,0.692,0.92893,0.004555,0.004555,0.004555
57,26750,1.10331,0.67171,0.92381,0.72934,0.59597,0.65464,0.43333,1.08718,0.69283,0.92827,0.004456,0.004456,0.004456
58,27717,1.10759,0.67012,0.92585,0.73615,0.59636,0.65649,0.43792,1.08727,0.6894,0.92916,0.004357,0.004357,0.004357
59,28126.9,1.1033,0.66396,0.92453,0.73065,0.5944,0.6565,0.43756,1.08888,0.6902,0.92842,0.004258,0.004258,0.004258
60,28995.8,1.09787,0.66093,0.92058,0.72649,0.60157,0.65517,0.43634,1.08791,0.69109,0.92814,0.004159,0.004159,0.004159
61,29300.3,1.09834,0.65528,0.92078,0.72859,0.59895,0.65749,0.43805,1.08572,0.68792,0.92738,0.00406,0.00406,0.00406
62,29848.6,1.09611,0.65404,0.91946,0.73761,0.59607,0.65709,0.43738,1.08713,0.69047,0.92686,0.003961,0.003961,0.003961
63,30143.8,1.09555,0.65052,0.92093,0.71932,0.60236,0.65515,0.43645,1.08626,0.69064,0.92618,0.003862,0.003862,0.003862
64,30763.9,1.09443,0.6509,0.91901,0.71804,0.60282,0.65583,0.43763,1.08909,0.69042,0.92758,0.003763,0.003763,0.003763
65,31059.4,1.08424,0.64508,0.91646,0.70625,0.6135,0.65902,0.43983,1.08649,0.68717,0.92764,0.003664,0.003664,0.003664
66,31604.2,1.08586,0.64273,0.91896,0.72161,0.60323,0.65712,0.43787,1.08823,0.6896,0.92933,0.003565,0.003565,0.003565
67,31900.5,1.0824,0.63765,0.91902,0.72732,0.5979,0.65811,0.43929,1.0859,0.69019,0.92857,0.003466,0.003466,0.003466
68,32680.2,1.07961,0.63211,0.91756,0.72417,0.60384,0.65883,0.44128,1.08734,0.68772,0.9277,0.003367,0.003367,0.003367
69,32975.7,1.07868,0.63109,0.91624,0.73153,0.60252,0.65913,0.44263,1.08466,0.68643,0.92647,0.003268,0.003268,0.003268
70,33753.2,1.07777,0.62988,0.91461,0.71457,0.60645,0.65892,0.44062,1.08638,0.6879,0.92628,0.003169,0.003169,0.003169
71,34048.3,1.07048,0.62351,0.91361,0.73621,0.60243,0.66148,0.44239,1.08338,0.68498,0.92618,0.00307,0.00307,0.00307
72,34887,1.06844,0.61949,0.91356,0.71339,0.61434,0.66137,0.44222,1.08687,0.68684,0.92693,0.002971,0.002971,0.002971
73,35181.9,1.06775,0.61978,0.91242,0.72369,0.60097,0.65977,0.44177,1.0852,0.68743,0.92688,0.002872,0.002872,0.002872
74,35477.8,1.06573,0.61535,0.90995,0.72369,0.60632,0.66057,0.44071,1.08613,0.68656,0.92643,0.002773,0.002773,0.002773
75,35773.3,1.06629,0.61489,0.91203,0.73151,0.59924,0.65604,0.43795,1.08774,0.68961,0.92686,0.002674,0.002674,0.002674
76,36244.9,1.0617,0.61108,0.91098,0.73099,0.60017,0.65761,0.4401,1.08616,0.68755,0.92746,0.002575,0.002575,0.002575
77,36540.7,1.0616,0.60849,0.90875,0.73413,0.60282,0.65974,0.44058,1.08877,0.68852,0.92582,0.002476,0.002476,0.002476
78,36840.3,1.05785,0.60514,0.90894,0.73062,0.60338,0.65759,0.43946,1.08526,0.68893,0.92465,0.002377,0.002377,0.002377
79,37787.4,1.05195,0.59982,0.90863,0.73011,0.60451,0.65663,0.4383,1.08857,0.68982,0.92705,0.002278,0.002278,0.002278
80,38609.6,1.05143,0.60042,0.90754,0.73265,0.6025,0.65755,0.43967,1.08598,0.68889,0.9268,0.002179,0.002179,0.002179
