epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,21560.1,1.08619,0.66538,0.92361,0.7212,0.60269,0.65738,0.43472,1.09049,0.69527,0.93357,0.005842,0.005842,0.005842
44,21857.4,1.08498,0.66212,0.92119,0.73069,0.60137,0.6626,0.44243,1.08678,0.69464,0.93258,0.005743,0.005743,0.005743
45,22154.9,1.07551,0.65543,0.92234,0.73248,0.59752,0.65787,0.43902,1.08561,0.69104,0.9318,0.005644,0.005644,0.005644
46,22518.6,1.07698,0.65303,0.92,0.72203,0.60944,0.66081,0.44117,1.08913,0.69118,0.93196,0.005545,0.005545,0.005545
47,22830.6,1.07488,0.65136,0.91987,0.73547,0.60114,0.66279,0.44248,1.08831,0.69205,0.93209,0.005446,0.005446,0.005446
48,23127.7,1.06314,0.64551,0.91914,0.72234,0.60885,0.66125,0.44124,1.08758,0.69503,0.93348,0.005347,0.005347,0.005347
49,23426,1.05844,0.64148,0.91579,0.73194,0.59796,0.65697,0.43736,1.09071,0.69355,0.93325,0.005248,0.005248,0.005248
50,23988.3,1.06964,0.64288,0.9166,0.72347,0.60723,0.66157,0.44155,1.08391,0.69054,0.9296,0.005149,0.005149,0.005149
51,24784.3,1.06253,0.63489,0.91606,0.72713,0.60975,0.66394,0.443,1.08737,0.69035,0.93225,0.00505,0.00505,0.00505
52,25508.5,1.0604,0.63508,0.91368,0.72457,0.60946,0.66192,0.44298,1.08259,0.6878,0.93114,0.004951,0.004951,0.004951
53,26009.7,1.05923,0.6296,0.91472,0.7403,0.60336,0.66161,0.44059,1.08439,0.69033,0.93227,0.004852,0.004852,0.004852
54,26373,1.05605,0.62852,0.91385,0.73046,0.61333,0.66412,0.44158,1.08239,0.68735,0.93102,0.004753,0.004753,0.004753
55,26879.9,1.06076,0.62896,0.91476,0.74411,0.6037,0.65961,0.44003,1.08531,0.68801,0.93166,0.004654,0.004654,0.004654
56,27176.7,1.04946,0.6222,0.91129,0.73283,0.60221,0.65953,0.43915,1.08643,0.68784,0.92941,0.004555,0.004555,0.004555
57,27754.8,1.04437,0.61644,0.91066,0.74262,0.6064,0.66615,0.44396,1.08654,0.6856,0.93149,0.004456,0.004456,0.004456
58,28051.5,1.04429,0.61243,0.91221,0.73537,0.60464,0.66313,0.44377,1.0837,0.68425,0.93033,0.004357,0.004357,0.004357
59,28612.9,1.04386,0.61033,0.91113,0.73171,0.60669,0.66201,0.44133,1.08862,0.68392,0.93348,0.004258,0.004258,0.004258
60,28913.1,1.03813,0.60668,0.90962,0.74047,0.61322,0.66639,0.44413,1.08784,0.68365,0.93224,0.004159,0.004159,0.004159
61,29284.3,1.03725,0.60324,0.90679,0.72658,0.61443,0.66618,0.44439,1.08531,0.68601,0.92993,0.00406,0.00406,0.00406
62,31170.2,1.03324,0.60009,0.90686,0.73125,0.61095,0.66566,0.44279,1.08414,0.68495,0.93037,0.003961,0.003961,0.003961
63,31467.1,1.0359,0.59985,0.90619,0.73894,0.60699,0.66528,0.44485,1.08512,0.68579,0.9294,0.003862,0.003862,0.003862
