epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
43,33627.4,1.2488,0.36669,0.13799,0.5979,0.41917,0.42393,0.22366,0.86445,0.44226,0.087,0.005842,0.005842,0.005842
44,34627.2,1.25569,0.36562,0.13893,0.64051,0.45759,0.47573,0.25451,0.77583,0.4839,0.07743,0.005743,0.005743,0.005743
45,35437.4,1.17431,0.38913,0.12212,0.64049,0.4726,0.47652,0.27333,0.78847,0.47014,0.07836,0.005644,0.005644,0.005644
46,36173.9,1.18635,0.38344,0.12838,0.61548,0.43992,0.44601,0.22871,0.84858,0.45372,0.08177,0.005545,0.005545,0.005545
47,36916.4,1.17966,0.38617,0.12681,0.62572,0.46536,0.4756,0.25941,0.78752,0.47376,0.0789,0.005446,0.005446,0.005446
48,37655.7,1.21518,0.3788,0.12991,0.58493,0.45722,0.45919,0.26479,0.79584,0.48087,0.07806,0.005347,0.005347,0.005347
49,38394.7,1.18251,0.38537,0.12804,0.59559,0.40357,0.40933,0.22595,0.91521,0.42332,0.09127,0.005248,0.005248,0.005248
50,39141.6,1.17654,0.38776,0.13338,0.57844,0.43025,0.42649,0.24892,0.84902,0.44852,0.08478,0.005149,0.005149,0.005149
51,39879.8,1.11368,0.40787,0.11612,0.6184,0.4742,0.48267,0.29305,0.74106,0.48213,0.07286,0.00505,0.00505,0.00505
52,40617.8,1.14156,0.39588,0.12114,0.61536,0.44425,0.44806,0.26475,0.837,0.45261,0.08242,0.004951,0.004951,0.004951
53,41363.9,1.11999,0.39909,0.11875,0.60364,0.43783,0.43997,0.2498,0.83843,0.45116,0.08454,0.004852,0.004852,0.004852
54,42102.3,1.12173,0.41006,0.12119,0.61123,0.4684,0.47189,0.27592,0.74993,0.49238,0.07458,0.004753,0.004753,0.004753
55,42842.1,1.07365,0.4173,0.10762,0.63058,0.47809,0.49369,0.29865,0.71254,0.50094,0.07059,0.004654,0.004654,0.004654
56,43579.4,1.09732,0.40561,0.11256,0.62619,0.47942,0.4872,0.29284,0.73907,0.4808,0.07384,0.004555,0.004555,0.004555
57,44319.4,1.10604,0.40752,0.11228,0.64451,0.50751,0.51469,0.31484,0.69353,0.49628,0.0709,0.004456,0.004456,0.004456
58,45057.7,1.09536,0.4068,0.11022,0.64462,0.50031,0.51113,0.30162,0.71854,0.49323,0.07269,0.004357,0.004357,0.004357
59,45795.8,1.092,0.4046,0.11219,0.64369,0.48991,0.5017,0.30084,0.73045,0.47859,0.0728,0.004258,0.004258,0.004258
60,46534.9,1.1231,0.39913,0.11764,0.62905,0.48143,0.48905,0.30178,0.73917,0.47765,0.07264,0.004159,0.004159,0.004159
